contentId,id,addr1,addr2
24617,2742424,대구 달성군 ,대구 달성군 다사읍
24618,2742469,대구광역시 수성구 ,대구광역시 수성구 동대구로
24619,2742496,대구광역시 동구 ,대구광역시 동구 동대구로
24620,2742528,대구광역시 달성군 ,대구광역시 달성군 유가읍
24621,2742567,대구광역시 달성군 ,대구광역시 달성군 유가면
24622,2742601,부산광역시 강서구 ,부산광역시 강서구 신포길
24623,2742647,경상남도 밀양시 ,경상남도 밀양시 활성동
24624,2742707,경기도 광주시 ,경기도 광주시 곤지암읍
24625,2742711,광주광역시 광산구 ,광주광역시 광산구 장신로
24626,2743162,충청남도 예산군 ,충청남도 예산군 고덕면
24627,2743178,경상북도 청도군 ,경상북도 청도군 운문면
24628,2743200,충청북도 제천시 ,충청북도 제천시 백운면
24629,2743201,충청남도 천안시 ,충청남도 천안시 동남구
24630,2743206,전라남도 여수시 ,전라남도 여수시 남면
24631,2743209,경상남도 사천시 ,경상남도 사천시 사남면
24632,2743211,강원도 횡성군 ,강원도 횡성군 우천면
24633,2743212,전라북도 무주군 ,전라북도 무주군 안성면
24634,2743213,제주특별자치도 제주시 ,제주특별자치도 제주시 애월읍
24635,2743214,충청남도 태안군 ,충청남도 태안군 원북면
24636,2743217,경상북도 포항시 ,경상북도 포항시 남구
24637,2743218,경상북도 청도군 ,경상북도 청도군 운문면
24638,2743222,충청북도 괴산군 ,충청북도 괴산군 감물면
24639,2743223,경상남도 양산시 ,경상남도 양산시 상북면
24640,2743224,경기도 포천시 ,경기도 포천시 창수면
24641,2743225,전라남도 화순군 ,전라남도 화순군 백아면
24642,2743226,충청북도 청주시 ,충청북도 청주시 상당구
24643,2743227,경기도 의정부시 ,경기도 의정부시 송산로971번길
24644,2743229,충청북도 괴산군 ,충청북도 괴산군 청천면
24645,2743230,충청남도 논산시 ,충청남도 논산시 벌곡면
24646,2743232,경상북도 영주시 ,경상북도 영주시 단산면
24647,2743233,강원도 영월군 ,강원도 영월군 무릉도원면
24648,2743234,경상북도 봉화군 ,경상북도 봉화군 물야면
24649,2743235,경상북도 군위군 ,경상북도 군위군 부계면
24650,2743236,강원도 홍천군 ,강원도 홍천군 남면
24651,2743237,경상북도 성주군 ,경상북도 성주군 금수면
24652,2743239,충청북도 음성군 ,충청북도 음성군 생극면
24653,2743241,경기도 양평군 ,경기도 양평군 양평읍
24654,2743243,전라남도 신안군 ,전라남도 신안군 압해읍
24655,2743244,전라남도 여수시 ,전라남도 여수시 남면
24656,2743247,전라북도 김제시 ,전라북도 김제시 금산면
24657,2743248,경상남도 양산시 ,경상남도 양산시 상북면
24658,2743249,울산광역시 울주군 ,울산광역시 울주군 상북면
24659,2743250,충청북도 제천시 ,충청북도 제천시 백운면
24660,2743251,경상남도 합천군 ,경상남도 합천군 삼가면
24661,2743252,인천광역시 옹진군 ,인천광역시 옹진군 영흥면
24662,2743253,경상남도 거창군 ,경상남도 거창군 위천면
24663,2743254,충청북도 괴산군 ,충청북도 괴산군 청천면
24664,2743255,경상북도 상주시 ,경상북도 상주시 화북면
24665,2743256,전라북도 순창군 ,전라북도 순창군 구림면
24666,2743257,충청북도 진천군 ,충청북도 진천군 백곡면
24667,2743258,강원도 속초시 ,강원도 속초시 해오름로
24668,2743267,전라남도 순천시 ,전라남도 순천시 별량면
24669,2743272,전라남도 순천시 ,전라남도 순천시 서면
24670,2743284,전라북도 군산시 ,전라북도 군산시 한밭로
24671,2743285,전라북도 부안군 ,전라북도 부안군 변산면
24672,2743286,대전광역시 유성구 ,대전광역시 유성구 죽동로242번길
24673,2743288,전라북도 군산시 ,전라북도 군산시 옥도면
24674,2743289,경상남도 창원시 ,경상남도 창원시 진해구
24675,2743290,전라북도 군산시 ,전라북도 군산시 분멀5길
24676,2743291,대전광역시 유성구 ,대전광역시 유성구 동서대로189번길
24677,2743292,경상남도 김해시 ,경상남도 김해시 분성로
24678,2743294,경기도 용인시 ,경기도 용인시 처인구
24679,2743295,경상남도 창원시 ,경상남도 창원시 마산합포구
24680,2743296,전라북도 군산시 ,전라북도 군산시 옥도면
24681,2743298,경기도 의왕시 ,경기도 의왕시 오매기백운산길
24682,2743309,경기도 의왕시 ,경기도 의왕시 징계골길
24683,2743311,경상남도 합천군 ,경상남도 합천군 합천읍
24684,2743312,경기도 의왕시 ,경기도 의왕시 학현로
24685,2743313,경상남도 창원시 ,경상남도 창원시 진해구
24686,2743315,경기도 의왕시 ,경기도 의왕시 안양판교로
24687,2743317,경상남도 양산시 ,경상남도 양산시 상북면
24688,2743322,전라북도 고창군 ,전라북도 고창군 부안면
24689,2743324,경기도 의왕시 ,경기도 의왕시 부곡공원길
24690,2743325,대전광역시 서구 ,대전광역시 서구 둔산로
24691,2743326,전라북도 부안군 ,전라북도 부안군 변산면
24692,2743328,경상남도 김해시 ,경상남도 김해시 해반천로144번길
24693,2743329,경기도 의왕시 ,경기도 의왕시 내손공원길
24694,2743335,경기도 화성시 ,경기도 화성시 동탄대로4가길
24695,2743336,경기도 의왕시 ,경기도 의왕시 오전로
24696,2743337,전라북도 부안군 ,전라북도 부안군 변산면
24697,2743339,경기도 화성시 ,경기도 화성시 동탄숲속로35번길
24698,2743341,경기도 의왕시 ,경기도 의왕시 백운로
24699,2743342,전라북도 전주시 ,전라북도 전주시 완산구
24700,2743343,전라북도 고창군 ,전라북도 고창군 심원면
24701,2743344,경기도 화성시 ,경기도 화성시 서신면
24702,2743346,전라북도 전주시 ,전라북도 전주시 완산구
24703,2743347,경기도 화성시 ,경기도 화성시 서신면
24704,2743348,충청남도 예산군 ,충청남도 예산군 대흥면
24705,2743349,경기도 화성시 ,경기도 화성시 동탄영천로
24706,2743356,경기도 화성시 ,경기도 화성시 남양읍
24707,2743363,충청남도 예산군 ,충청남도 예산군 삽교읍
24708,2743371,충청남도 천안시 ,충청남도 천안시 동남구
24709,2743380,전라북도 부안군 ,전라북도 부안군 변산면
24710,2743387,전라북도 부안군 ,전라북도 부안군 변산면
24711,2743393,충청북도 영동군 ,충청북도 영동군 양산면
24712,2743638,서울특별시 강서구 ,서울특별시 강서구 하늘길
24713,2743740,서울특별시 광진구 ,서울특별시 광진구 광나루로
24714,2743741,전라남도 장성군 ,전라남도 장성군 황룡면
24715,2743742,서울특별시 노원구 ,서울특별시 노원구 동일로180길
